ensembl,WT1,WT2,WT3,WT4,WT5,MT16W1,MT16W2,MT16W3,MT16W4,MT16W5,MT20W1,MT20W2,MT20W3,MT20W4
ENSMUSG00000026389,5.7005,6.09392,6.16129,6.40299,5.88954,5.86137,5.80339,5.8588,6.08334,5.81409,5.82219,6.27696,5.88954,5.34756
ENSMUSG00000028062,5.35492,5.54757,5.75378,5.78082,5.79717,5.77884,5.66397,5.32361,5.70774,5.86857,5.52264,5.48822,5.19012,5.21722
ENSMUSG00000007610,3.83709,3.75261,3.84528,3.29082,3.73679,3.40605,3.893,3.43391,3.99089,4.22798,3.97415,4.04667,4.03452,3.70079
ENSMUSG00000027865,7.62219,7.52958,7.50554,7.73026,7.47,7.38677,7.58025,7.25503,7.57902,7.54433,6.89915,7.32342,6.9839,6.88474
ENSMUSG00000036330,5.40145,5.32091,5.70545,5.49722,5.32027,5.24899,5.34348,5.2558,5.06113,6.00521,5.14039,5.34605,5.24292,5.27149
ENSMUSG00000040632,3.38278,3.33076,3.51317,3.92761,3.34111,3.23904,3.40716,3.22401,2.90953,3.7379,3.35544,3.92514,3.26179,3.4078
ENSMUSG00000020305,2.77076,2.54376,2.56881,2.78945,2.37921,2.92164,3.09101,2.83942,2.54734,2.66146,2.98795,2.91829,2.85117,3.37534
ENSMUSG00000030465,7.42225,7.39557,7.14898,7.30193,7.06026,6.97465,7.06329,6.97182,7.36204,6.48706,6.80964,6.91521,6.91328,6.7207
ENSMUSG00000034587,4.63104,4.84549,4.3291,4.48925,4.52633,4.6553,4.22914,4.59632,4.52086,4.37569,5.07292,4.57491,4.95525,4.22441
ENSMUSG00000051172,2.68445,3.01021,3.46706,3.3978,2.81593,3.29138,2.63801,2.92467,3.02783,3.15902,3.17765,3.00801,2.99141,2.96488
ENSMUSG00000097725,3.5003,3.34202,4.03826,3.38378,3.3578,3.18445,3.34179,2.97308,2.99267,3.48696,3.3476,3.31628,3.15184,3.55367
ENSMUSG00000016179,3.93701,3.91235,4.63104,4.25877,3.76306,4.06627,3.85872,3.6778,3.64908,4.16273,3.86648,4.12379,3.7663,4.06633
ENSMUSG00000051510,8.29009,8.27151,8.35974,8.4321,8.26651,8.46782,8.16113,8.4212,8.43825,8.28996,8.73135,8.68535,8.71628,9.20279
ENSMUSG00000086290,6.06859,6.38058,6.29395,6.56292,6.56622,5.74432,6.21505,6.44297,6.50532,6.12177,6.18306,6.4287,5.90441,6.72434
ENSMUSG00000021624,5.38242,5.4738,5.30173,5.25758,4.86917,5.30576,5.29801,5.05449,5.68113,5.23252,5.19106,5.63552,4.97977,5.7039
ENSMUSG00000054582,5.23063,5.10433,4.94864,5.04797,5.49975,5.23984,5.15725,5.17938,5.41664,5.61513,5.44083,5.21052,5.26928,5.9694
ENSMUSG00000044715,7.21008,7.36249,6.82824,7.55983,7.1606,7.04634,7.18157,7.21917,7.09402,6.88771,7.24756,7.41243,7.61378,6.95893
ENSMUSG00000037640,3.72688,4.10888,3.97824,3.9235,4.1515,3.75279,3.63488,3.79346,3.97982,3.56089,3.81322,3.4955,3.89,3.50298
ENSMUSG00000041161,5.36622,5.15557,5.28905,5.50612,4.81846,5.24317,5.48293,5.0291,5.0891,5.2315,5.60706,5.65458,5.41351,5.454
ENSMUSG00000038009,3.84878,3.43429,3.92891,3.56806,3.93449,3.73372,3.77759,3.41479,3.65344,3.25626,3.72123,3.65068,3.31798,3.50737
ENSMUSG00000041837,6.93116,6.98407,6.82085,6.80517,7.04665,6.89227,7.00409,7.15281,7.00293,6.97487,7.33994,7.70998,7.46225,7.43515
ENSMUSG00000034829,4.97404,4.71095,5.13317,4.79659,4.70874,4.83249,4.47541,4.45836,4.67496,4.96325,4.46135,4.8186,4.39786,4.33184
ENSMUSG00000022621,5.22087,5.51735,5.21577,5.33794,5.435,5.82866,5.53322,5.47749,5.60829,5.43707,6.10674,5.58385,5.7407,5.74796
ENSMUSG00000049551,5.10086,4.71431,5.29197,4.54433,5.01747,4.98819,4.96972,4.96813,5.5241,4.89045,4.85871,4.93494,4.7652,4.89502
ENSMUSG00000025231,3.62944,3.92635,3.74167,3.94695,3.43201,4.04248,3.93896,3.35337,3.79495,3.83384,3.53951,3.77431,3.14721,3.7395
